image_url,,date_human,wall_url,context,user_type,post_id,post_url,уровень восприятия,объект,категория,image,annotation_text_description_x,annotation_user_intent_x,annotation_has_feor_x,первичный сюжет,Unnamed: 9,Unnamed: 10,photo_id,owner_id,album_id,related_photo_urls,hashtags,lat,long,poi_lat,poi_lon,distance_meters,poi_name,user_id,user_gender,user_age,user_city,user_city_id,user_kind,post_text,inside_poi_area,inside_poi_building,annotation_text_description_y,annotation_location_type,annotation_photo_type,annotation_is_advertisement,annotation_city_objects,annotation_city_activities,annotation_user_intent_y,annotation_has_building,annotation_has_synagogue,annotation_has_feor_y,annotation_has_other_building,annotation_confidence,model_version,model_timestamp,level,year,poi_name_ru
"https://sun9-8.userapi.com/s/v1/if1/XWYHsTfqTM_MCCIKqfXXW4qwqFT46lF0PvJ2WpbU2fsTYna8NSOK2ZXLoPaFkSwNLjVvmMZp.jpg?quality=96&as=32x18,48x27,72x40,108x61,160x90,240x135,360x202,480x270,540x304,640x360,720x405,1080x607,1280x720,1440x810,2560x1440&from=bu&cs=2560x0",,2019-04-21 16:24:25,https://vk.com/id9666156,-,user,,,уровень 0. урбанистический фон,синагога снаружи,Урбанистический фон,,"Городской пейзаж: ряд зданий различной высоты под голубым небом; слева и центр — многоэтажки, справа видна купольная башня.",показать городской пейзаж,yes,,,,456246187,9666156,-7,,,58.008275,56.234437,58.00819896,56.23476396,21.03518779,synagogue,9666156,,,,,,,TRUE,TRUE,"Городской пейзаж: ряд зданий различной высоты под голубым небом; слева и центр — многоэтажки, справа видна купольная башня.",outdoor,cityscape,FALSE,"здания, крыши, дороги, купол",,показать городской пейзаж,TRUE,FALSE,FALSE,TRUE,0.85,gpt-5-nano,2025-11-23T20:21:50.860536+00:00,уровень 0. урбанистический фон,2019,Синагога
"https://sun9-17.userapi.com/s/v1/ig2/IUTgeMkhIf2eNh_hfeBrnDO6Ls9O7S5ER7YNLvIN4YgGo57Dgt9no_hutyvRHZxBZvnv_TaGK-r0tAiPCW1AkqOP.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0",,2021-12-21 8:46:44,https://vk.com/wall-116518,,group,,,уровень 4*. жизнь общины,синагога внутри,Сакральное ядро / Контент общины,,"Группа людей в помещении вокруг длинного стола: на переднем плане мужчина держит тарелку с куском выпечки, перед ним лежит большая прямоугольная выпечка на противне; люди стоят и заняты раздачей/подачей блюда.",показать еду,,,,,457248476,-116518,-7,,,58.0081,56.234887,58.00819896,56.23476396,13.1770623,synagogue,-116518,,,,,,,TRUE,TRUE,"Группа людей в помещении вокруг длинного стола: на переднем плане мужчина держит тарелку с куском выпечки, перед ним лежит большая прямоугольная выпечка на противне; люди стоят и заняты раздачей/подачей блюда.",indoor,food,FALSE,"стол, тарелка, выпечка, противень, руки, люди, посуда",раздача пищи,показать еду,TRUE,FALSE,FALSE,FALSE,0.78,gpt-5-nano,2025-11-23T20:21:50.871207+00:00,уровень 4*. жизнь общины,2021,Синагога
"https://sun9-37.userapi.com/s/v1/ig1/nraF09sMTRE2asF37hqdNiwmm6x8XzEbnkF_BNFCah3TbMpqFNtwIG42xALsi8q4XCfL5Lf_.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1230x1230&from=bu&cs=1230x0",,2019-01-26 15:45:18,https://vk.com/wall-121133864,"Это 3 работа ученицы - мужской маникюр 💕
.
Мужские руки очень отличаются от женских, несмотря на то, что вроде бы пальцы и ногти такие же 😄
На самом деле мужчины более чувствительны в плане маникюра, с ними нужно осторожней 😁 .
Мы молодцы, на сегодняшний день мы отработали женский и мужской маникюр, покрытие и выравнивание и наращивание ногтей. .
Теперь нужно чаще практиковаться, довести работы до идеала и смело называть себя крутым мастером 😍😎
.
По поводу обучения пишите в личные сообщения ☎️
#обучениеманикюрпермь",group,,,уровень 2. утилитарность,синагога внутри,Коммерческая экосистема,,"Крупный план ногтей на пальцах руки с маникюром, на фоне видны надписи «РАБОТА УЧЕНИЦЫ» и «WHITE_ROSE_STUDIO_PERM»",показать маникюр и работу ученицы,,,,,456326804,-121133864,-7,,,58.008072,56.234636,58.00819896,56.23476396,16.0039895,synagogue,-121133864,,,,,,,TRUE,TRUE,"Крупный план ногтей на пальцах руки с маникюром, на фоне видны надписи «РАБОТА УЧЕНИЦЫ» и «WHITE_ROSE_STUDIO_PERM»",indoor,product,TRUE,,,показать маникюр и работу ученицы,FALSE,FALSE,FALSE,FALSE,0.78,gpt-5-nano,2025-11-23T20:21:50.766443+00:00,уровень 2. утилитарность,2019,Синагога
"https://sun9-1.userapi.com/s/v1/ig1/_19WV_Ge_ofqXhsBDlnjrGjmN_EnbSg0CeADiCBwS9suZDFiUbWdrDpjDV_w-Yb7pZGR-qkF.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1499x1499&from=bu&cs=1499x0",,2019-01-23 16:20:15,https://vk.com/wall-124299091,"Лучшие друзья девушек - это💎💎💎

 ♥️Новый маникюр это всегда маленькая радость

 🌐 Пермь, ул. Екатерининская 116
💒 Жёлтое здание (напротив ТЦ Алмаз), главный вход, 1 этаж, 8 офис
⠀
💰Ознакомиться с ценами? Смотри окошко ""ПРАЙС"" в актуальном!
👩‍💻Записаться онлайн? Переходи по ссылке в шапке профиля!
⠀
🖤 Ежедневно с 10.00 до 22.00
📓По предварительной записи
☎️ 8(965) 568-14-19
📱 WhatsApp/Viber/VK/Direct/SMS
⠀
☕ Чай/кофе/конфетки
🔌 Зарядные для телефона
💎 Уходовая косметика
✨Модели нужны всегда
#маникюрцентр
#маникюрпермь
#ногтипермь #наращиваниеногтейпермь #покрытиегельлакпермь",group,,,уровень 2. утилитарность,синагога внутри,Коммерческая экосистема,,"Крупный план руки с маникюром: ногти тёпло-розового и золотистого градиента, блестящее покрытие; на изображении белый текст «РАБОТА УЧЕНИЦЫ» и «WHITE ROSE STUDIO PERM»",показать маникюр как услугу,,,,,456239343,-124299091,-7,,,58.008072,56.234636,58.00819896,56.23476396,16.0039895,synagogue,-124299091,,,,,,,TRUE,TRUE,"Крупный план руки с маникюром: ногти тёпло-розового и золотистого градиента, блестящее покрытие; на изображении белый текст «РАБОТА УЧЕНИЦЫ» и «WHITE ROSE STUDIO PERM»",indoor,product,TRUE,,,показать маникюр как услугу,FALSE,FALSE,FALSE,FALSE,0.85,gpt-5-nano,2025-11-23T20:21:50.771061+00:00,уровень 2. утилитарность,2019,Синагога
"https://sun9-78.userapi.com/s/v1/ig1/6VD-agvIsIbjKdU-0R6ptjAaV4FB7sVVGTr7ngZC9nFNgAf5BaTcUWlyuIzOm8vWIURACl3k.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,768x1024&from=bu&cs=768x0",,2018-05-25 14:52:24,https://vk.com/wall-145795246,-,group,,,уровень 0. урбанистический фон,синагога снаружи,Урбанистический фон,,"Высокое здание с куполообразной верхушкой на городской улице, рядом стоят автомобили и пешеходы; на фоне небо ясно-голубое.",показать здание,yes,,,,456239569,-145795246,-7,,,58.007982,56.235495,58.00819896,56.23476396,49.36350398,synagogue,-145795246,,,,,,,TRUE,FALSE,"Высокое здание с куполообразной верхушкой на городской улице, рядом стоят автомобили и пешеходы; на фоне небо ясно-голубое.",outdoor,building,FALSE,"тротуар, дорога, фасад здания, вывески, автомобили, пешеходы",прогулка,показать здание,TRUE,FALSE,FALSE,FALSE,0.82,gpt-5-nano,2025-11-23T20:21:50.768296+00:00,уровень 0. урбанистический фон,2018,Синагога
"https://sun9-76.userapi.com/s/v1/if2/o6Cj2wJsieQVe9gWWrwRslPyzzkdAobBZppG_Swxol1AIX--VGy8agSiEJkrbeRGmzz4Q0A4lJsHPo1vOAkVtNpp.jpg?quality=96&as=32x18,48x27,72x41,108x62,160x92,240x137,360x206,480x275,540x309,640x367,720x412,915x524&from=bu&cs=915x0",,2020-06-14 6:30:11,https://vk.com/wall-147917661,"(из фотоальбома ""Старая Пермь с локацией"")",group,,,уровень 3. музей,ФЕОР снаружи,Архитектурная доминанта / Наследие,,"Уличное здание с фасадом и окнами; вдоль тротуара идёт человек, вокруг деревья.",показать здание на улице,yes,исторический облик,,,457240302,-147917661,273194003,,,58.007469,56.255915,58.00763133,56.25514588,48.77363987,or avner habad community center,-147917661,,,,,,,TRUE,FALSE,"Уличное здание с фасадом и окнами; вдоль тротуара идёт человек, вокруг деревья.",outdoor,building,FALSE,"тротуар, дорога, фасад здания, деревья, уличный фонарь, человек",ходьба,показать здание на улице,TRUE,FALSE,FALSE,FALSE,0.82,gpt-5-nano,2025-11-23T20:21:50.803754+00:00,уровень 3. музей,2020,ФЕОР
"https://sun9-25.userapi.com/s/v1/if1/c51oGCcNukuPfvV8xB9GUO2Ioh2XFg4iwAJ9iERZCSrDIA1QG31LrZ53wso0QDUS-VnZmAyr.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",,2018-09-07 16:12:48,https://vk.com/wall-166810589,,group,,,уровень 4*. жизнь общины,феор внутри,Деятельность школы / Контент общины,,"Группа людей сидит за столами в помещении класса; на стене яркая вывеска SMART, окна с цветными занавесками. Люди делают заметки и обсуждают материал.",задокументировать учебную сцену,,,,,456239092,-166810589,-7,,,58.007783,56.255003,58.00763133,56.25514588,18.84826179,or avner habad community center,-166810589,,,,,,,TRUE,TRUE,"Группа людей сидит за столами в помещении класса; на стене яркая вывеска SMART, окна с цветными занавесками. Люди делают заметки и обсуждают материал.",indoor,interior,FALSE,"столы, стулья, бумаги, вывеска SMART, окна, шторы","обсуждение, работа с документами, обучение",задокументировать учебную сцену,FALSE,FALSE,FALSE,FALSE,0.78,gpt-5-nano,2025-11-23T20:21:50.767169+00:00,уровень 4*. жизнь общины,2018,ФЕОР
"https://sun9-4.userapi.com/s/v1/if1/o9Ykn76PeoogB3vC5iIjtC4CW7vrL8RQLJG4wegrDJBX4am6Cm2JTxGmBszDKZVkWP3MLCYv.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",,2018-09-06 15:29:19,https://vk.com/wall-166810589,,group,,,уровень 4*. жизнь общины,феор внутри,Деятельность школы / Контент общины,,"Интерьер классной комнаты: круглые белые столы и разноцветные стулья, яркие стены с полосами и надписью SMARTJ, радиатор вдоль стены",показать интерьер класса,,,,,456239088,-166810589,-7,,,58.007783,56.255003,58.00763133,56.25514588,18.84826179,or avner habad community center,-166810589,,,,,,,TRUE,TRUE,"Интерьер классной комнаты: круглые белые столы и разноцветные стулья, яркие стены с полосами и надписью SMARTJ, радиатор вдоль стены",indoor,interior,FALSE,"столы, стулья, стены, вывеска SMARTJ, радиатор",,показать интерьер класса,FALSE,FALSE,FALSE,FALSE,0.72,gpt-5-nano,2025-11-23T20:21:50.788573+00:00,уровень 4*. жизнь общины,2018,ФЕОР
"https://sun9-82.userapi.com/s/v1/if1/Zq0M8zYJ3f5YchdtxItapneTxmjXrarQkQanw3Ov-SCttUNhFfKmlZaVu1ToqE38KnjcSToI.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",,2018-09-06 15:29:19,https://vk.com/wall-166810589,,group,,,уровень 4*. жизнь общины,феор внутри,Деятельность школы / Контент общины,,"Классная комната с круглыми столами и стульями, белая доска на стене, яркие цветные панели на стенах",показать интерьер класса,,,,,456239087,-166810589,-7,,,58.007783,56.255003,58.00763133,56.25514588,18.84826179,or avner habad community center,-166810589,,,,,,,TRUE,TRUE,"Классная комната с круглыми столами и стульями, белая доска на стене, яркие цветные панели на стенах",indoor,interior,FALSE,,,показать интерьер класса,FALSE,FALSE,FALSE,FALSE,0.72,gpt-5-nano,2025-11-23T20:21:50.822964+00:00,уровень 4*. жизнь общины,2018,ФЕОР
"https://sun9-25.userapi.com/s/v1/if1/jbj4na0-KZTLA73jG6TWI2PffPjKOaKeVOibjZ_PTbsUst80Q2jXw7spc4aKFaZ8ssTwGP8U.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",,2018-09-06 15:29:19,https://vk.com/wall-166810589,,group,,,уровень 4*. жизнь общины,феор внутри,Деятельность школы / Контент общины,,Комната внутри помещения с белыми столами и разноцветными стулами; стены окрашены в мятовый цвет с радужными полосами и рисунками; окно с жалюзи на заднем плане.,показать интерьер помещения,,,,,456239090,-166810589,-7,,,58.007783,56.255003,58.00763133,56.25514588,18.84826179,or avner habad community center,-166810589,,,,,,,TRUE,TRUE,Комната внутри помещения с белыми столами и разноцветными стулами; стены окрашены в мятовый цвет с радужными полосами и рисунками; окно с жалюзи на заднем плане.,indoor,interior,FALSE,"столы, стулья, окно, жалюзи, стены с рисунками, пол",,показать интерьер помещения,FALSE,FALSE,FALSE,FALSE,0.78,gpt-5-nano,2025-11-23T20:21:50.851455+00:00,уровень 4*. жизнь общины,2018,ФЕОР
