photo_id,owner_id,album_id,post_id,post_url,image_url,related_photo_urls,hashtags,date_human,lat,long,poi_lat,poi_lon,distance_meters,poi_name,user_id,user_gender,user_age,user_city,user_city_id,user_kind,post_text,annotation_text_description,annotation_location_type,annotation_photo_type,annotation_is_advertisement,annotation_situation_summary,annotation_city_objects,annotation_city_activities,annotation_user_intent,annotation_has_building,annotation_has_synagogue,annotation_has_feor,annotation_has_other_building,annotation_confidence,model_version,model_timestamp
456239138,-75252175,-7,,,"https://sun9-45.userapi.com/s/v1/ig1/cLgOPc0KPmp36b2SvuDxpvEK-l2p4PwuG1nLXTjlvo7LQN5ahfxYDl2tpWDj647m-eclhMAK.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0",,,2016-12-08 14:17:21,58.007947,56.235826,58.00819896273859,56.23476395501453,68.55273978324111,synagogue,-75252175,,,,,,,"Модель в двух платьях примеряет наряды, стоит перед зеркалом в магазине.",indoor,selfie,False,"Фотография сделана в примерочной комнате магазина одежды, модель показывает два разных платья.",,,показать одежду,False,False,False,False,0.9,gpt-4o-mini,2025-11-20T00:59:07.912089+00:00
457253816,-170690865,-7,,,"https://sun9-25.userapi.com/s/v1/ig2/20Z20YhGQ5vKOdFjVINDjtRUABnD9IOJf-UAEVSUgtKWg9s8lLIvhO3ytzdYEvN-Zosb-pmTU5zGY1jKOBKQQT3R.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1344x1792&from=bu&cs=1344x0",,,2022-10-01 10:27:17,58.007722,56.234505,58.00819896273859,56.23476395501453,55.186284082187015,synagogue,-170690865,,,,,,,"Молодая женщина позирует в интерьере, одетая в серый свитер и белую юбку, рядом с зеркалом.",indoor,portrait,False,"Фотография сделана в помещении, где девушка позирует у зеркала. В помещении находится растительность и большое окно, через которое видно часть городского пейзажа.","окно, зеркало",,сделать портрет,False,False,False,False,0.8,gpt-4o-mini,2025-11-20T00:59:16.873755+00:00
457246675,-101847722,-7,6313.0,https://vk.com/wall-101847722_6313,"https://sun9-43.userapi.com/s/v1/ig2/IzX8r6vQeGrFRAr4aHfeTNzyLzH5jhWt-pplQjGeWM_g4hiA7lye1Su0yQUnse7GRR1Q-P_ZolqIYTBYhxz5dlE8.jpg?quality=95&as=32x41,48x62,72x93,108x139,160x207,240x310,360x465,480x620,540x697,640x826,720x930,1080x1395,1239x1600&from=bu&cs=1239x0",,,2022-05-24 08:44:55,58.007505,56.235007,58.00819896273859,56.23476395501453,78.48227077708103,synagogue,-101847722,,,,,,,"Изображение демонстрирует комплект одежды, состоящий из куртки, брюк и кепки, размещенный на фоне кирпичной стены.",indoor,product,True,Фотография демонстрирует новый комплект одежды для моды или экипировки.,,,показать товар,False,False,False,False,0.85,gpt-4o-mini,2025-11-20T00:59:25.276805+00:00
457257046,-170690865,-7,,,"https://sun9-12.userapi.com/s/v1/ig2/Kywqi8ygPMV2agHhDj6uKv-C7j_m3w0V7wMsymhqwhKTMR30tPcXv-GsD0ULdhZKiI8KbDXco6n6Hb6OBcSHI_hF.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1398x1864&from=bu&cs=1398x0",,,2023-05-02 14:45:08,58.007596,56.234492,58.00819896273859,56.23476395501453,68.93402153006282,synagogue,-170690865,,,,,,,"Женщина в бежевом наряде с открытой спиной стоит боком к камере, держа одну руку на белом кошеле. Фон белый, вроде бы интерьер.",indoor,other,False,"Модель или человек позирует, демонстрируя свою одежду и аксессуар.",,,показать наряд и аксессуар,False,False,False,False,0.8,gpt-4o-mini,2025-11-20T00:59:32.036335+00:00
457241339,390216747,-7,1505.0,https://vk.com/wall390216747_1505,"https://sun9-56.userapi.com/s/v1/ig2/9lCA1kKxN0_E3BiWBodm3JhFeX_O-N73e8j_rwaZ7RuiFWQiiyJOqMamOKFIJrtG3rF_3thQ6Y2Iu6z_71vnPaAZ.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1531x1531&from=bu&cs=1531x0",,,2021-03-18 17:56:44,58.008408,56.233697,58.00819896273859,56.23476395501453,67.01517062121398,synagogue,390216747,,,,,,,"Семейный портрет на фоне природы и архитектурного сооружения. На фотографии четверо людей: два взрослых и двое детей, позируют в солнечную погоду. На заднем плане виден водный пейзаж и замковая структура.",outdoor,group_portrait,False,"Люди стоят вместе и улыбаются на фоне красивого пейзажа и замка, один из детей прикрывает глаза от солнца.","архитектурное сооружение, море",,задокументировать семейное времяпрепровождение,True,False,False,True,0.9,gpt-4o-mini,2025-11-20T01:00:01.733005+00:00
457253052,-170690865,-7,,,"https://sun9-21.userapi.com/s/v1/ig2/U1x6OBmYq2D_qQI1a_HHn1GWLt1-dVAOt0ct0rNgCu18iA0F9hecBTeFbEpAcp2V_9e-Dc1NAjEbmH7oV06bHR7d.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1344x1792&from=bu&cs=1344x0",,,2022-08-19 12:31:20,58.008023,56.234411,58.00819896273859,56.23476395501453,28.55136751134135,synagogue,-170690865,,,,,,,"Фотография женщины в розовом свитере и черных брюках, стоящей на фоне белой стены.",indoor,portrait,False,"Женщина позирует на фоне стены, закрыв глаза рукой и улыбаясь.",,,показать стильный наряд,False,False,False,False,0.9,gpt-4o-mini,2025-11-20T01:12:25.242139+00:00
457254022,-170690865,-7,,,"https://sun9-46.userapi.com/s/v1/ig2/a7FcHL-kPm3_zoym7umraYYBSQ9Vk58yGiMDnXocVXi74JkshJNCqsMNXIsEpVttD2aV_oJbyuC-lVaYJj99tZ49.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1344x1792&from=bu&cs=1344x0",,,2022-10-13 13:09:05,58.007904,56.234332,58.00819896273859,56.23476395501453,41.51239618653149,synagogue,-170690865,,,,,,,"Женщина в свитере с леопардовым принтом позирует перед камерой, ее рука на талии.",indoor,selfie,False,Фотография сделана внутри помещения. Женщина демонстрирует свой свитер.,,,показать одежду,False,False,False,False,0.9,gpt-4o-mini,2025-11-20T01:13:02.827853+00:00
457239978,-179988268,-7,,,"https://sun9-85.userapi.com/s/v1/ig1/yij8Q0uFWkGlFObtaGmVrfVaSCqarhlkdWmeIK_69wyTMfGExrUzHaYNp5-IhurgwxzIt85I.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0",,,2019-10-18 17:01:59,58.007596,56.234663,58.00819896273859,56.23476395501453,67.30966438609275,synagogue,-179988268,,,,,,,"Фотография женщины с рюкзаком в магазине, отражающаяся в зеркале. На ней светлая блузка и длинная юбка.",indoor,selfie,False,"Женщина стоит перед зеркалом, показывая свой рюкзак. В магазине видно одежду на вешалах и витрину.","магазин, витрина",,показать рюкзак,False,False,False,False,0.9,gpt-4o-mini,2025-11-20T01:13:10.437431+00:00
457253159,-170690865,-7,,,"https://sun9-26.userapi.com/s/v1/ig2/w_6hgboxkQx5x5BPFjgCy3GcmWg1pqttfnSDMHqIEAdWK_QeRWOLCecF7R36kj4iepgyosDKmJUY7w7BP6ykbUqy.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1344x1792&from=bu&cs=1344x0",,,2022-08-25 15:45:16,58.007813,56.234504,58.00819896273859,56.23476395501453,45.567571879464026,synagogue,-170690865,,,,,,,"На фотографии девушка позирует в светлом помещении с белыми стенами, одетая в яркий оранжевый костюм. Она стоит у двери и делает 'мир' жест, смеясь.",indoor,selfie,False,"Девушка позирует для фотографии, весело позируя в яркой одежде.",,,показать стильный образ,False,False,False,False,0.8,gpt-4o-mini,2025-11-20T01:13:35.375931+00:00
457254007,-170690865,-7,,,"https://sun9-19.userapi.com/s/v1/ig2/FdSw400ICZRmI7sDIE5XTf2NZ2MqlltW8jvalFaYK7CRCfHcEukRaVVgK_BTEKSpz__8TBS-NF430iDQsgVF38xC.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1344x1792&from=bu&cs=1344x0",,,2022-10-12 11:30:41,58.008023,56.234411,58.00819896273859,56.23476395501453,28.55136751134135,synagogue,-170690865,,,,,,,"На фотографии изображена женщина, стоящая в более формальном наряде ярко-розового цвета с одной длинной рукавом, предоставляя возможность отдельно увидеть платье.",indoor,other,False,"Женщина позирует в наряде, вероятно, для фотосессии или отображения моды.",,,показать наряд,False,False,False,False,0.8,gpt-4o-mini,2025-11-20T01:13:41.585342+00:00
