photo_id,album_id,owner_id,user_id,date,date_human,lat,long,poi_lat,poi_lon,distance_meters,image_url,text,has_tags,post_id,poi_name,inside_poi_area,inside_poi_building,photo_key
372168485,-7,9841575,9841575,1435915251,2015-07-03 11:20:51,58.00819,56.255465,58.00763133477656,56.255145877976155,64.90317640364077,"https://sun9-33.userapi.com/s/v1/if1/sTV9ay-6BosQuF8QJ6Ps_94kl405PsdvABTaIda0h2FHf2WAqNwLE1QFgmN0RVh7w2f-t4IJ.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,960x720&from=bu&cs=960x0",,False,1070.0,or avner habad community center,True,False,9841575__372168485
359099224,-7,94785586,94785586,1428055976,2015-04-03 12:12:56,58.006986,56.25618,58.00763133477656,56.255145877976155,94.13159007230888,"https://sun9-37.userapi.com/s/v1/ig1/09p8AFpcS1h7E-5djZOtQYxOi2sI8HMmg269SIOA2jE-d2rb7KnjuaQFMngQSfiX2rYhNlYZ.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0",,False,,or avner habad community center,True,False,94785586__359099224
359099214,-7,94785586,94785586,1428055971,2015-04-03 12:12:51,58.006986,56.25618,58.00763133477656,56.255145877976155,94.13159007230888,"https://sun9-19.userapi.com/s/v1/ig1/Y6nZ-X_mxKn7_2fWkXSfdn16MNUyk1NbZ30gnuN9qIDTikw_nF89FGWl2YY1M52Vxj95I3FR.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0",,False,,or avner habad community center,True,False,94785586__359099214
336305307,-7,131821874,131821874,1407512654,2014-08-08 17:44:14,58.007014,56.25626,58.00763133477656,56.255145877976155,94.9741105252708,"https://sun9-58.userapi.com/s/v1/if2/Q2kHOfYzoWOVt7i7DKf6_67BBeBJ24aulfwDr3IM_ZUwDyYniPOog5cugw_4NxL07ClQTb1JlDz0hiZwBtD-MYtz.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960&from=bu&cs=1280x0",,False,,or avner habad community center,True,False,131821874__336305307
336305310,-7,131821874,131821874,1407512654,2014-08-08 17:44:14,58.006979,56.256246,58.00763133477656,56.255145877976155,97.27254541945284,"https://sun9-40.userapi.com/s/v1/ig2/sPM1N77CwJmi_30PqvSJfxFdIlNVZUpnTzSuwRA4WRdXtqGoktUUg4z0AucJ9diIPXD3VqQ0hC5qgEcyEVIrpDRN.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,768x1024&from=bu&cs=768x0",,False,,or avner habad community center,True,False,131821874__336305310
336305309,-7,131821874,131821874,1407512654,2014-08-08 17:44:14,58.007014,56.25626,58.00763133477656,56.255145877976155,94.9741105252708,"https://sun9-80.userapi.com/s/v1/ig2/PXkfoejqxMURwNbNiBIuoWEHXdSYH9wQfI-vTc68BfC9uzAE33snFNvpUOb6oqG8cncaVsxP996oEfcoeXa2rkru.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,768x1024&from=bu&cs=768x0",,False,,or avner habad community center,True,False,131821874__336305309
301620473,-7,-47185159,-47185159,1365756686,2013-04-12 10:51:26,58.006845,56.254753,58.00763133477656,56.255145877976155,90.44799528222724,"https://sun9-80.userapi.com/s/v1/if2/21WTYtVI8x3Hbg9jK8ui6WBJEh6PrjnW3SSvAuGhR6man-0QRndNOFt66dEN-rMs-ue6NPRIPp6m--2L8gq26U8u.jpg?quality=96&as=32x18,48x27,72x40,108x61,160x90,240x135,360x202,480x270,540x304,640x360,720x405,1080x607,1280x720&from=bu&cs=1280x0",,False,835.0,or avner habad community center,True,False,-47185159__301620473
456239757,-7,161911854,161911854,1518197112,2018-02-09 18:25:12,58.007021,56.256365,58.00763133477656,56.255145877976155,98.81348107275196,"https://sun9-14.userapi.com/s/v1/ig1/kCquMKZ2Uu5ehuXMuiL6_YQgXCpn5LxfOfMFuJcqK6BeYg2gD7OOfkSzlK3skPsdcNOQNFkH.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0",,False,,or avner habad community center,True,False,161911854__456239757
456245521,-7,-139031873,-139031873,1513939954,2017-12-22 11:52:34,58.007749,56.256536,58.00763133477656,56.255145877976155,82.9329913684683,"https://sun9-21.userapi.com/s/v1/ig1/O_OiK94Qak8RFCOBrgXNZ3tqZEAvo4VD13GqaPSrvMFj6eJyvV6QFxdd98Os8pzofcz0DgMr.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0",,False,,or avner habad community center,True,False,-139031873__456245521
456239993,-7,-95529855,-95529855,1512731734,2017-12-08 12:15:34,58.007,56.25622,58.00763133477656,56.255145877976155,94.5116004421848,"https://sun9-60.userapi.com/s/v1/if1/GXrT7vJSuiGmdQ4MyL3gNSgjvy0Dm-j9XI3MfCbaSmawteXSlXsfXPOu_uP_ipQZ8TyXYWKa.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",,False,2475.0,or avner habad community center,True,False,-95529855__456239993
456239284,-7,-145762608,-145762608,1503041347,2017-08-18 09:29:07,58.007034,56.254515,58.00763133477656,56.255145877976155,76.11202732272142,"https://sun9-45.userapi.com/s/v1/ig1/qliC3Q8yngw_2wWDtc6Y0nKT9jnjFvoMgER_TlFMWYy49RanoMBcziZrz1hk1I0Af2JLKES8.jpg?quality=96&as=32x38,48x56,72x84,108x127,160x188,240x282,360x422,480x563,540x634,640x751,720x845,818x960&from=bu&cs=818x0",,False,342.0,or avner habad community center,True,False,-145762608__456239284
456239147,-7,360281420,360281420,1501239618,2017-07-28 13:00:18,58.007007,56.256154,58.00763133477656,56.255145877976155,91.36080945742854,"https://sun9-79.userapi.com/s/v1/ig1/8KYOgR0VtqSVkeBbZDJFEyn8I95fJVnvs339m46-fKmi14enHGUgpzbGK_6GGiq8XAA8rqAF.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,719x960&from=bu&cs=719x0",,False,,or avner habad community center,True,False,360281420__456239147
456239125,-7,270714830,270714830,1498802316,2017-06-30 07:58:36,58.007056,56.256378,58.00763133477656,56.255145877976155,96.75534012053622,"https://sun9-17.userapi.com/s/v1/ig1/nOC3RKzeg4tHeJFPxI-cLJ33Fr46d7aPaTwTQ1gj59AkrEd-a1MvDyxtZGBp_HXVj92tFJT2.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0",,False,,or avner habad community center,True,False,270714830__456239125
